CANSpiN-ID,Author,Title,Reference Year
CANSpiN-spa-19_001,"Gil y Carrasco, Enrique",El Señor de Bembibre,1844
CANSpiN-spa-19_002,"Alonso de la Avecilla, Pablo",Conquista del Perú: novela histórica original,1852
CANSpiN-spa-19_003,"Arróriz y Bosch, Teresa",El testamento de Don Juan I,1855
CANSpiN-spa-19_004,"Foz, Braulio",Vida de Pedro Saputo,1844
CANSpiN-spa-19_005,"Caballero, Fernán",Clemencia. Novela de costumbres,1852
CANSpiN-spa-19_006,"Amado Salazar, José María",El honor castellano. Novela histórica original,1855
CANSpiN-spa-19_007,"Castro, Rosalía de",La hija del mar,1859
CANSpiN-spa-19_008,"Mora, Juan de Dios",Los templarios. Tomo I,1856
CANSpiN-spa-19_009,"Ros de Olano, Antonio",El diablo las carga,1840
CANSpiN-spa-19_010,"Guerrero, Teodoro",Anatomía del corazón,1856
CANSpiN-spa-19_011,"Domínguez, P. J.",Don Juan I de Castilla o La Venganza de un Rey,1852
CANSpiN-spa-19_012,"Coronado, Carolina",Jarilla,1850
CANSpiN-spa-19_013,"De Campoamor, Ramón",Los manuscritos de mi padre,1842
CANSpiN-spa-19_014,"Ortega y Frías, Ramón",Cervantes: Novela original,1859
CANSpiN-spa-19_015,"Jover, Nicasio Camilo",Las amarguras de un rey: novela histórica,1856
CANSpiN-spa-19_016,"Torrijos, Manuel",La infanta Doña Teresa,1857
CANSpiN-spa-19_017,"Caballero, Fernán",Lágrimas: novela de costumbres contemporáneas,1853
CANSpiN-spa-19_018,"Andueza, José María",Don Felipe el prudente. Novela histórica original,1856
CANSpiN-spa-19_019,"Gómez de Avellaneda, Gertrudis",Sab. Novela original,1841
CANSpiN-spa-19_020,"Gómez de Avellaneda, Gertrudis",Dos mujeres,1842
CANSpiN-spa-19_021,"Gómez de Avellaneda, Gertrudis",La velada del helecho o El donativo del diablo: novela,1857
CANSpiN-spa-19_022,"Fernández y Gonzalez, Manuel",Los siete infantes de Lara,1853
CANSpiN-spa-19_023,"Navarro Villoslada, Francisco",Doña Blanca de Navarra,1846
CANSpiN-spa-19_024,"Castro, Rosalía de",El caballero de las botas azules,1867
CANSpiN-spa-19_025,"Caballero, Fernán","Un servilón y un liberalito, ó Tres almas de Dios",1857
CANSpiN-spa-19_026,"Pastor de la Roca, José",La corona de fuego o Los subterraneos de las torres de Altamira,1863
CANSpiN-spa-19_027,"Altadill, Antonio",Barcelona y sus misterios,1860
CANSpiN-spa-19_028,"Ortega y Frías, Ramón",El duende de la corte,1862
CANSpiN-spa-19_029,"Sinués de Marco, María del Pilar",El alma enferma,1865
CANSpiN-spa-19_046,"Martínez Colomer, Vicente",El Valdemaro,1792
CANSpiN-spa-19_047,"García Malo, Ignacio","Anécdota undécima, (Vol. VI): El brigadier y Carlota",1792
CANSpiN-spa-19_059,"Fernández de Rojas, Juan",El triunfo de las castañuelas o Mi viaje a Crotalópolis,1792
CANSpiN-spa-19_064,"Cadalso, José",Cartas marruecas,1793
CANSpiN-spa-19_065,"Montengón, Pedro",El Rodrigo. Romance épico,1793
CANSpiN-spa-19_067,"Montengón, Pedro","Eudoxia, hija de Belisario",1793
